"","year","area","gear","effort","fleet","area.n","gear.n","licenses"
"1",1996,"A","Seine",9.15342465753425,NA,1,1,NA
"2",1996,"B","Seine",2.07397260273973,NA,2,1,NA
"3",1996,"C","Gillnet",62.7397260273973,NA,3,3,NA
"4",1996,"D","Gillnet",2.4,NA,4,3,NA
"5",1996,"E","Gillnet",4.63287671232877,NA,5,3,NA
"6",1996,"F","Troll",21.5780821917808,NA,6,2,NA
"7",1996,"G","Troll",35.3397260273973,NA,7,2,NA
"8",1996,"H","Troll",0.882191780821918,NA,8,2,NA
"9",1997,"A","Seine",5.91780821917808,NA,1,1,NA
"10",1997,"B","Seine",9.33150684931507,NA,2,1,NA
"11",1997,"C","Gillnet",42.0876712328767,NA,3,3,NA
"12",1997,"D","Gillnet",17.4602739726027,NA,4,3,NA
"13",1997,"E","Gillnet",5.7013698630137,NA,5,3,NA
"14",1997,"F","Troll",30.5616438356164,NA,6,2,NA
"15",1997,"G","Troll",2.78630136986301,NA,7,2,NA
"16",1997,"H","Troll",3.45205479452055,NA,8,2,NA
"17",1998,"A","Seine",4.86027397260274,NA,1,1,135
"18",1998,"B","Seine",3.37534246575343,NA,2,1,224
"19",1998,"C","Gillnet",19.5616438356164,NA,3,3,875
"20",1998,"D","Gillnet",6.37534246575343,NA,4,3,319
"21",1998,"E","Gillnet",4.75342465753425,NA,5,3,577
"22",1998,"F","Troll",16.6630136986301,NA,6,2,240
"23",1998,"G","Troll",6.61369863013699,NA,7,2,335
"24",1998,"H","Troll",3.34520547945205,NA,8,2,176
"25",1999,"A","Seine",6.0027397260274,NA,1,1,108
"26",1999,"B","Seine",NA,NA,2,1,167
"27",1999,"C","Gillnet",23.5315068493151,NA,3,3,730
"28",1999,"D","Gillnet",5.40547945205479,NA,4,3,250
"29",1999,"E","Gillnet",5.99452054794521,NA,5,3,425
"30",1999,"F","Troll",5.27397260273973,NA,6,2,172
"31",1999,"G","Troll",4.23561643835616,NA,7,2,251
