year,area,species,gear,effort,catch,fleet,area.n,gear.n,species.n,harvest,licenses,landed.value,wholesale.value,abundance
1996,A,Chinook,Seine,9.153424657534247,5253,NA,1,1,2,NA,NA,NA,NA,234810.68601781968
1996,A,Chum,Seine,9.153424657534247,402573,NA,1,1,4,NA,NA,NA,NA,1564060
1996,A,Coho,Seine,9.153424657534247,75909,NA,1,1,3,NA,NA,NA,NA,426261
1996,A,Pink,Seine,9.153424657534247,4195781,NA,1,1,5,NA,NA,NA,NA,19013264
1996,A,Sockeye,Seine,9.153424657534247,1691716,NA,1,1,1,NA,NA,NA,NA,977230
1996,B,Chinook,Seine,2.073972602739726,206,NA,2,1,2,NA,NA,NA,NA,217280
1996,B,Chum,Seine,2.073972602739726,367570,NA,2,1,4,NA,NA,NA,NA,866013
1996,B,Coho,Seine,2.073972602739726,6433,NA,2,1,3,NA,NA,NA,NA,12514
1996,B,Pink,Seine,2.073972602739726,49254,NA,2,1,5,NA,NA,NA,NA,2603412
1996,B,Sockeye,Seine,2.073972602739726,127129,NA,2,1,1,NA,NA,NA,NA,2538373
1996,C,Chinook,Gillnet,62.73972602739726,32537,NA,3,3,2,NA,NA,NA,NA,234810.68601781968
1996,C,Chum,Gillnet,62.73972602739726,490900,NA,3,3,4,NA,NA,NA,NA,1564060
1996,C,Coho,Gillnet,62.73972602739726,92178,NA,3,3,3,NA,NA,NA,NA,426261
1996,C,Pink,Gillnet,62.73972602739726,665329,NA,3,3,5,NA,NA,NA,NA,19013264
1996,C,Sockeye,Gillnet,62.73972602739726,3083783,NA,3,3,1,NA,NA,NA,NA,977230
1996,D,Chinook,Gillnet,2.4,323,NA,4,3,2,NA,NA,NA,NA,217280
1996,D,Chum,Gillnet,2.4,5877,NA,4,3,4,NA,NA,NA,NA,866013
1996,D,Coho,Gillnet,2.4,3130,NA,4,3,3,NA,NA,NA,NA,12514
1996,D,Pink,Gillnet,2.4,5836,NA,4,3,5,NA,NA,NA,NA,2603412
1996,D,Sockeye,Gillnet,2.4,90946,NA,4,3,1,NA,NA,NA,NA,2538373
1996,E,Chinook,Gillnet,4.632876712328767,4225,NA,5,3,2,NA,NA,NA,NA,217280
1996,E,Chum,Gillnet,4.632876712328767,99865,NA,5,3,4,NA,NA,NA,NA,866013
