"","year","disposable.income","species","catch","species.group","source","harvest","landed.value","wholesale.value","price.per.kilo.wholesale","price.per.kilo.landed","price.per.kilo.farmed.wholesale","price.per.kilo.farmed.landed","spp.n"
"1",1996,118.882,"Chinook",42.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2",1997,123.73275,"Chinook",198.311,"Salmon","Wild commercial",1.7,5.8,7.7,4.5294,3.411764706,6.2925,4.83507135,5
"3",1998,129.64675,"Chinook",150.154,"Salmon","Wild commercial",1.4,5.5,9.2,6.5714,3.928571429,6.2509,5.419408284,5
"4",1999,136.565,"Chinook",116.815,"Salmon","Wild commercial",0.8,4.1,6.6,8.25,5.125,6.7264,5.854149879,5
"5",2000,144.91975,"Chinook",72.581,"Salmon","Wild commercial",0.5,2.8,5.3,10.6,5.6,6.6059,5.708004053,5
"6",2001,153.82125,"Chinook",102.048,"Salmon","Wild commercial",0.7,3.1,5.1,7.2857,4.428571429,4.7479,3.981772747,5
"7",2002,160.6455,"Chinook",261.938,"Salmon","Wild commercial",1.7,7.1,11.8,6.9412,4.176470588,4.0226,3.429673591,5
"8",2003,165.8095,"Chinook",326.606,"Salmon","Wild commercial",2.2,8.2,17.3,7.8636,3.727272727,4.1552,3.5195377,5
"9",2004,173.80925,"Chinook",376.769,"Salmon","Wild commercial",2.4,14.8,26.9,11.2083,6.166666667,4.645,3.641921397,5
"10",2005,180.37775,"Chinook",330.606,"Salmon","Wild commercial",2.1,12.6,24.9,11.8571,6,5.3366,4.520448736,5
"11",2006,193.5935,"Chinook",274.17,"Salmon","Wild commercial",2,14.4,29.2,14.6,7.2,5.7758,5.224416517,5
"12",2007,204.08,"Chinook",193.289,"Salmon","Wild commercial",1.4,10.5,23.8,17,7.5,5.9495,4.869421907,5
"13",2008,215.60075,"Chinook",152.176,"Salmon","Wild commercial",1,9,18.4,18.4,9,6.0806,5.025785855,5
"14",2009,221.1955,"Chinook",138.064,"Salmon","Wild commercial",0.9,7.1,16.1,17.8889,7.888888889,6.4679,5.166448231,5
