"","year","species.group","source","species","harvest","landed.value","wholesale.value","catch","spp.n"
"1",2022,"Salmon","Wild commercial","Chinook",1.366,10.63775,20.21200763,1.10529,2
"2",2022,"Salmon","Wild commercial","Chum",0.942,4.289844,12.21932873,0.88758,4
"3",2022,"Salmon","Wild commercial","Coho",0.498,2.912044,20.2631667,1.03091,3
"4",2022,"Salmon","Wild commercial","Pink",1.81,1.529926,15.8804673,6.76056,5
"5",2022,"Salmon","Wild commercial","Sockeye",3.618,20.88389,207.2357623,11.49289,1
"6",2023,"Salmon","Wild commercial","Chinook",1.487,11.027132,21.53264655,1.01228,2
"7",2023,"Salmon","Wild commercial","Chum",0.485,1.247683,7.960072,0.51668,4
"8",2023,"Salmon","Wild commercial","Coho",0.518,2.663207,26.038665,1.17571,3
"9",2023,"Salmon","Wild commercial","Pink",3.563,2.029559,18.17650085,14.48728,5
"10",2023,"Salmon","Wild commercial","Sockeye",1.213,6.418695,155.119708,4.42613,1
"11",2021,"Salmon","Wild commercial","Chinook",1.57,13.82,25.89,1.23016,2
"12",2021,"Salmon","Wild commercial","Chum",0.32,0.92,9.92,0.20562,4
"13",2021,"Salmon","Wild commercial","Coho",0.34,1.69,19.85,0.67511,3
"14",2021,"Salmon","Wild commercial","Pink",1.49,1.05,7.17,2.61263,5
"15",2021,"Salmon","Wild commercial","Sockeye",0.5,2.43,123.02,0.71143,1
"16",2020,"Salmon","Wild commercial","Chinook",1.33,9.92,16.49,0.88414,2
"17",2020,"Salmon","Wild commercial","Chum",1.51,4.48,13.45,2.23389,4
"18",2020,"Salmon","Wild commercial","Coho",0.39,1.89,23.8,0.89583,3
"19",2020,"Salmon","Wild commercial","Pink",4.97,4.86,12.24,19.1681,5
"20",2020,"Salmon","Wild commercial","Sockeye",0.29,1.02,126.6,0.30044,1
"21",2019,"Salmon","Wild commercial","Chinook",1.35,7.88,16.2,1.17593,2
"22",2019,"Salmon","Wild commercial","Chum",1.19,2.84,15.11,1.74825,4
"23",2019,"Salmon","Wild commercial","Coho",0.63,3.96,24.28,1.82208,3
"24",2019,"Salmon","Wild commercial","Pink",1.45,0.78,7.41,1.26822,5
"25",2019,"Salmon","Wild commercial","Sockeye",0.18,0.95,87.35,0.26339,1
"26",2018,"Salmon","Wild commercial","Chinook",1.15,10.88,17.75,1.16051,2
"27",2018,"Salmon","Wild commercial","Chum",4.15,13.41,31.28,7.24184,4
"28",2018,"Salmon","Wild commercial","Coho",0.74,3.83,27.27,1.82124,3
"29",2018,"Salmon","Wild commercial","Pink",0.62,0.58,5.34,2.8966,5
"30",2018,"Salmon","Wild commercial","Sockeye",11.35,63.31,176.27,33.33352,1
"31",2017,"Salmon","Wild commercial","Chinook",1.64,16.58,26.58,1.79413,2
"32",2017,"Salmon","Wild commercial","Chum",7.4,22.61,44.52,12.39532,4
"33",2017,"Salmon","Wild commercial","Coho",1.26,6.45,24.21,3.52614,3
