species,year,region,abundance,genlength,parental_abundance,parental_release,parental_sst,spp.n,reg.n
Chinook,1996,Yukon,70440.68602,NA,NA,NA,NA,2,1
Chinook,1997,Yukon,88389.00784,NA,NA,NA,NA,2,1
Chinook,1998,Yukon,45544.29627,NA,NA,NA,NA,2,1
Chinook,1999,Yukon,37366.43035,NA,NA,NA,NA,2,1
Chinook,2000,Yukon,48233.01204,NA,NA,NA,NA,2,1
Chinook,2001,Yukon,80014.5956,NA,NA,NA,NA,2,1
Chinook,2002,Yukon,45240.56891,NA,NA,NA,NA,2,1
Chinook,2003,Yukon,61546.10273,NA,NA,NA,NA,2,1
Chinook,2004,Yukon,53099.9422,NA,NA,NA,NA,2,1
Chinook,2005,Yukon,64014.19038,NA,NA,NA,NA,2,1
Chinook,2006,Yukon,63125.96999,NA,NA,NA,NA,2,1
Chinook,2007,Yukon,38135.69512,NA,NA,NA,NA,2,1
Chinook,2008,Yukon,36251.89183,NA,NA,NA,NA,2,1
Chinook,2009,Yukon,57801.57897,NA,NA,NA,NA,2,1
Chinook,2010,Yukon,28433.71222,NA,NA,NA,NA,2,1
Chinook,2011,Yukon,45077.87988,NA,NA,NA,NA,2,1
Chinook,2012,Yukon,32118.74962,NA,NA,NA,NA,2,1
Chinook,2013,Yukon,29379.19545,NA,NA,NA,NA,2,1
Chinook,2014,Yukon,52679.60377,NA,NA,NA,NA,2,1
Chinook,2015,Yukon,74144.67511,NA,NA,NA,NA,2,1
Chinook,2016,Yukon,69402.45643,NA,NA,NA,NA,2,1
Chinook,2017,Yukon,70193.83831,NA,NA,NA,NA,2,1
Chinook,2018,Yukon,59792.14749,NA,NA,NA,NA,2,1
Chinook,2019,Yukon,40290.82226,NA,NA,NA,NA,2,1
Chinook,2020,Yukon,27752.47543,NA,NA,NA,NA,2,1
Chinook,2021,Yukon,28549.74646,NA,NA,NA,NA,2,1
Chinook,2022,Yukon,12022.1355,NA,NA,NA,NA,2,1
Chinook,2023,Yukon,14900.7017,NA,NA,NA,NA,2,1
Chinook,1996,VIMI,100514,4,NA,40309144,6.123800403,2,8
Chinook,1997,VIMI,109265,4,NA,38064174,5.568284151,2,8
Chinook,1998,VIMI,139445,4,NA,31933047,5.400416658,2,8
Chinook,1999,VIMI,92170,4,92181,35103842,6.090548464,2,8
Chinook,2000,VIMI,63590,4,100514,30953857,6.215470205,2,8
Chinook,2001,VIMI,105110,4,109265,34379942,5.793741131,2,8
Chinook,2002,VIMI,135613,4,139445,30341242,4.866282963,2,8
Chinook,2003,VIMI,160219,4,92170,36799670,5.610359267,2,8
Chinook,2004,VIMI,164105,4,63590,37379311,5.487532328,2,8
Chinook,2005,VIMI,100383,4,105110,32267601,5.689460673,2,8
Chinook,2006,VIMI,142626,4,135613,37644272,6.320263224,2,8
Chinook,2007,VIMI,74708,4,160219,34985240,6.295697976,2,8
Chinook,2008,VIMI,80480,4,164105,36484637,6.86878503,2,8
Chinook,2009,VIMI,87461,4,100383,28179676,5.663032033,2,8
Chinook,2010,VIMI,83029,4,142626,27214329,5.206310806,2,8
Chinook,2011,VIMI,94477,4,74708,30212688,4.724268708,2,8
Chinook,2012,VIMI,67404,4,80480,25577794,5.572014289,2,8
Chinook,2013,VIMI,134608,4,87461,28150133,5.235384795,2,8
Chinook,2014,VIMI,89998,4,83029,28872859,5.577702162,2,8
Chinook,2015,VIMI,143040,4,94477,26451494,4.800310422,2,8
Chinook,2016,VIMI,130634,4,67404,27806694,5.560729398,2,8
Chinook,2017,VIMI,125311,4,134608,26602755,6.690331317,2,8
Chinook,2018,VIMI,126230,4,89998,22465910,6.790738342,2,8
Chinook,2019,VIMI,NA,4,143040,22206266,7.296033557,2,8
Chinook,2020,VIMI,NA,4,130634,24224552,6.186898823,2,8
Chinook,2021,VIMI,NA,4,125311,25391393,6.486794176,2,8
Chum,1996,VIMI,866013,4,2078608,119031613,6.123800403,4,8
Chum,1997,VIMI,1334171,4,1976751,153716773,5.568284151,4,8
Chum,1998,VIMI,2640312,4,1819885,139778871,5.400416658,4,8
Chum,1999,VIMI,1077228,4,808952,131610216,6.090548464,4,8
Chum,2000,VIMI,781623,4,866013,63906457,6.215470205,4,8
Chum,2001,VIMI,1873597,4,1334171,60922722,5.793741131,4,8
Chum,2002,VIMI,2300140,4,2640312,90755060,4.866282963,4,8
Chum,2003,VIMI,1909655,4,1077228,112460891,5.610359267,4,8
Chum,2004,VIMI,2857822,4,781623,66983555,5.487532328,4,8
Chum,2005,VIMI,1387110,4,1873597,25638558,5.689460673,4,8
Chum,2006,VIMI,1195769,4,2300140,115065048,6.320263224,4,8
Chum,2007,VIMI,1644304,4,1909655,85329403,6.295697976,4,8
Chum,2008,VIMI,1280067,4,2857822,63551903,6.86878503,4,8
Chum,2009,VIMI,1524172,4,1387110,80509667,5.663032033,4,8
Chum,2010,VIMI,814177,4,1195769,54047830,5.206310806,4,8
Chum,2011,VIMI,1826210,4,1644304,76360562,4.724268708,4,8
Chum,2012,VIMI,2231866,4,1280067,43987542,5.572014289,4,8
Chum,2013,VIMI,2249404,4,1524172,35014870,5.235384795,4,8
Chum,2014,VIMI,1145040,4,814177,39564207,5.577702162,4,8
Chum,2015,VIMI,1289234,4,1826210,27576918,4.800310422,4,8
Chum,2016,VIMI,2703424,4,2231866,72856021,5.560729398,4,8
Chum,2017,VIMI,892246,4,2249404,74223556,6.690331317,4,8
Chum,2018,VIMI,700455,4,1145040,59844117,6.790738342,4,8
Chum,2019,VIMI,NA,4,1289234,34251100,7.296033557,4,8
Chum,2020,VIMI,NA,4,2703424,62671882,6.186898823,4,8
Chum,2021,VIMI,NA,4,892246,113877854,6.486794176,4,8
Coho,1996,VIMI,NA,3,NA,8689245,5.568284151,3,8
Coho,1997,VIMI,NA,3,NA,9861926,5.400416658,3,8
Coho,1998,VIMI,NA,3,NA,9922831,6.090548464,3,8
Coho,1999,VIMI,NA,3,NA,9765130,6.215470205,3,8
Coho,2000,VIMI,NA,3,NA,10402280,5.793741131,3,8
Coho,2001,VIMI,NA,3,NA,9666575,4.866282963,3,8
Coho,2002,VIMI,NA,3,NA,11004299,5.610359267,3,8
Coho,2003,VIMI,NA,3,NA,12855388,5.487532328,3,8
Coho,2004,VIMI,NA,3,NA,12145785,5.689460673,3,8
Coho,2005,VIMI,NA,3,NA,11281409,6.320263224,3,8
Coho,2006,VIMI,NA,3,NA,11353848,6.295697976,3,8
Coho,2007,VIMI,NA,3,NA,8787029,6.86878503,3,8
Coho,2008,VIMI,NA,3,NA,9458471,5.663032033,3,8
Coho,2009,VIMI,NA,3,NA,6288362,5.206310806,3,8
Coho,2010,VIMI,NA,3,NA,6389793,4.724268708,3,8
Coho,2011,VIMI,NA,3,NA,5985677,5.572014289,3,8
Coho,2012,VIMI,NA,3,NA,7787451,5.235384795,3,8
Coho,2013,VIMI,NA,3,NA,8242358,5.577702162,3,8
Coho,2014,VIMI,NA,3,NA,6506541,4.800310422,3,8
Coho,2015,VIMI,NA,3,NA,5748627,5.560729398,3,8
Coho,2016,VIMI,NA,3,NA,4764568,6.690331317,3,8
Coho,2017,VIMI,NA,3,NA,4879453,6.790738342,3,8
Coho,2018,VIMI,NA,3,NA,3823209,7.296033557,3,8
Coho,2019,VIMI,NA,3,NA,3226821,6.186898823,3,8
Coho,2020,VIMI,NA,3,NA,3275003,6.486794176,3,8
Coho,2021,VIMI,NA,3,NA,3224352,7.241381418,3,8
Pink,1996,VIMI,2603412,2,1435181,10911994,5.400416658,5,8
Pink,1997,VIMI,546255,2,399602,10239901,6.090548464,5,8
Pink,1998,VIMI,2293370,2,2603412,11692402,6.215470205,5,8
Pink,1999,VIMI,1429726,2,546255,11276147,5.793741131,5,8
Pink,2000,VIMI,5579538,2,2293370,13243754,4.866282963,5,8
Pink,2001,VIMI,2639514,2,1429726,13745271,5.610359267,5,8
Pink,2002,VIMI,983718,2,5579538,13912927,5.487532328,5,8
Pink,2003,VIMI,909515,2,2639514,14917275,5.689460673,5,8
Pink,2004,VIMI,1605404,2,983718,16991993,6.320263224,5,8
Pink,2005,VIMI,1169301,2,909515,16583436,6.295697976,5,8
Pink,2006,VIMI,647258,2,1605404,15571557,6.86878503,5,8
Pink,2007,VIMI,1170795,2,1169301,11720956,5.663032033,5,8
Pink,2008,VIMI,618169,2,647258,17149430,5.206310806,5,8
Pink,2009,VIMI,3838813,2,1170795,11434362,4.724268708,5,8
Pink,2010,VIMI,1456881,2,618169,19392009,5.572014289,5,8
Pink,2011,VIMI,1127221,2,3838813,14704989,5.235384795,5,8
Pink,2012,VIMI,2957661,2,1456881,19512587,5.577702162,5,8
Pink,2013,VIMI,4553560,2,1127221,14730328,4.800310422,5,8
Pink,2014,VIMI,5651585,2,2957661,16015874,5.560729398,5,8
Pink,2015,VIMI,4441694,2,4553560,13380621,6.690331317,5,8
Pink,2016,VIMI,815211,2,5651585,13358342,6.790738342,5,8
Pink,2017,VIMI,948043,2,4441694,8372993,7.296033557,5,8
Pink,2018,VIMI,727774,2,815211,9848661,6.186898823,5,8
Pink,2019,VIMI,1531122,2,948043,10946030,6.486794176,5,8
Pink,2020,VIMI,NA,2,727774,13996736,7.241381418,5,8
Pink,2021,VIMI,NA,2,1531122,9339422,6.640011302,5,8
Sockeye,1996,VIMI,465102,5,682865,NA,6.123800403,1,8
Sockeye,1997,VIMI,390004,5,647091,NA,5.568284151,1,8
Sockeye,1998,VIMI,570027,5,507050,70200,5.400416658,1,8
Sockeye,1999,VIMI,401761,5,277263,658700,6.090548464,1,8
Sockeye,2000,VIMI,203910,5,181411,657900,6.215470205,1,8
Sockeye,2001,VIMI,818403,5,465102,206000,5.793741131,1,8
Sockeye,2002,VIMI,621035,5,390004,862000,4.866282963,1,8
Sockeye,2003,VIMI,479458,5,570027,1025000,5.610359267,1,8
Sockeye,2004,VIMI,397702,5,401761,1615000,5.487532328,1,8
Sockeye,2005,VIMI,379818,5,203910,1200000,5.689460673,1,8
Sockeye,2006,VIMI,242990,5,818403,2256000,6.320263224,1,8
Sockeye,2007,VIMI,175369,5,621035,2408000,6.295697976,1,8
Sockeye,2008,VIMI,227105,5,479458,3030000,6.86878503,1,8
Sockeye,2009,VIMI,415152,5,397702,783000,5.663032033,1,8
Sockeye,2010,VIMI,940097,5,379818,950000,5.206310806,1,8
Sockeye,2011,VIMI,1039854,5,242990,NA,4.724268708,1,8
Sockeye,2012,VIMI,451854,5,175369,NA,5.572014289,1,8
Sockeye,2013,VIMI,724962,5,227105,NA,5.235384795,1,8
Sockeye,2014,VIMI,640173,5,415152,NA,5.577702162,1,8
Sockeye,2015,VIMI,855008,5,940097,NA,4.800310422,1,8
Sockeye,2016,VIMI,531187,5,1039854,NA,5.560729398,1,8
Sockeye,2017,VIMI,465330,5,451854,NA,6.690331317,1,8
Sockeye,2018,VIMI,196435,5,724962,NA,6.790738342,1,8
Sockeye,2019,VIMI,178176,5,640173,NA,7.296033557,1,8
Sockeye,2020,VIMI,273675,5,855008,NA,6.186898823,1,8
Sockeye,2021,VIMI,NA,5,531187,NA,6.486794176,1,8
Chinook,1996,Skeena,102683,6,36921,688357,5.215184858,2,4
Chinook,1997,Skeena,48594,6,40934,569611,5.591939988,2,4
Chinook,1998,Skeena,39031,6,85718,550302,6.123800403,2,4
Chinook,1999,Skeena,46127,6,110970,595516,5.568284151,2,4
Chinook,2000,Skeena,65962,6,86298,612040,5.400416658,2,4
Chinook,2001,Skeena,112794,6,54866,652568,6.090548464,2,4
Chinook,2002,Skeena,40980,6,102683,494587,6.215470205,2,4
Chinook,2003,Skeena,81489,6,48594,375250,5.793741131,2,4
Chinook,2004,Skeena,103256,6,39031,412529,4.866282963,2,4
Chinook,2005,Skeena,56599,6,46127,442477,5.610359267,2,4
Chinook,2006,Skeena,53760,6,65962,344800,5.487532328,2,4
Chinook,2007,Skeena,60989,6,112794,411880,5.689460673,2,4
Chinook,2008,Skeena,42733,6,40980,440806,6.320263224,2,4
Chinook,2009,Skeena,57131,6,81489,267977,6.295697976,2,4
Chinook,2010,Skeena,60705,6,103256,291009,6.86878503,2,4
Chinook,2011,Skeena,27089,6,56599,342402,5.663032033,2,4
Chinook,2012,Skeena,20375,6,53760,348600,5.206310806,2,4
Chinook,2013,Skeena,38634,6,60989,231874,4.724268708,2,4
Chinook,2014,Skeena,40325,6,42733,274650,5.572014289,2,4
Chinook,2015,Skeena,52174,6,57131,402085,5.235384795,2,4
Chinook,2016,Skeena,27061,6,60705,354614,5.577702162,2,4
Chinook,2017,Skeena,15143,6,27089,356483,4.800310422,2,4
Chinook,2018,Skeena,33462,6,20375,376475,5.560729398,2,4
Chinook,2019,Skeena,20195,6,38634,303448,6.690331317,2,4
Chinook,2020,Skeena,16727,6,40325,221474,6.790738342,2,4
Chum,1996,Skeena,16881,4,10432,NA,6.123800403,4,4
Chum,1997,Skeena,45617,4,20115,NA,5.568284151,4,4
Chum,1998,Skeena,31029,4,16505,NA,5.400416658,4,4
Chum,1999,Skeena,6168,4,16406,NA,6.090548464,4,4
Chum,2000,Skeena,10476,4,16881,NA,6.215470205,4,4
Chum,2001,Skeena,18996,4,45617,NA,5.793741131,4,4
Chum,2002,Skeena,7565,4,31029,NA,4.866282963,4,4
Chum,2003,Skeena,13157,4,6168,115943,5.610359267,4,4
Chum,2004,Skeena,29298,4,10476,20679,5.487532328,4,4
Chum,2005,Skeena,29701,4,18996,NA,5.689460673,4,4
Chum,2006,Skeena,4505,4,7565,NA,6.320263224,4,4
Chum,2007,Skeena,8782,4,13157,NA,6.295697976,4,4
Chum,2008,Skeena,4339,4,29298,NA,6.86878503,4,4
Chum,2009,Skeena,8059,4,29701,NA,5.663032033,4,4
Chum,2010,Skeena,4130,4,4505,NA,5.206310806,4,4
Chum,2011,Skeena,7878,4,8782,NA,4.724268708,4,4
Chum,2012,Skeena,5916,4,4339,NA,5.572014289,4,4
Chum,2013,Skeena,2453,4,8059,NA,5.235384795,4,4
Chum,2014,Skeena,2735,4,4130,5249,5.577702162,4,4
Chum,2015,Skeena,2626,4,7878,NA,4.800310422,4,4
Chum,2016,Skeena,4160,4,5916,NA,5.560729398,4,4
Chum,2017,Skeena,2448,4,2453,NA,6.690331317,4,4
Chum,2018,Skeena,NA,4,2735,8500,6.790738342,4,4
Chum,2019,Skeena,NA,4,2626,NA,7.296033557,4,4
Chum,2020,Skeena,NA,4,4160,NA,6.186898823,4,4
Coho,1996,Skeena,75375,3,113188,597781,5.568284151,3,4
Coho,1997,Skeena,38931,3,215884,407416,5.400416658,3,4
Coho,1998,Skeena,175595,3,76412,606236,6.090548464,3,4
Coho,1999,Skeena,350611,3,75375,405087,6.215470205,3,4
Coho,2000,Skeena,209973,3,38931,348728,5.793741131,3,4
Coho,2001,Skeena,456529,3,175595,227324,4.866282963,3,4
Coho,2002,Skeena,369536,3,350611,565152,5.610359267,3,4
Coho,2003,Skeena,356496,3,209973,496137,5.487532328,3,4
Coho,2004,Skeena,261921,3,456529,295358,5.689460673,3,4
Coho,2005,Skeena,507526,3,369536,451045,6.320263224,3,4
Coho,2006,Skeena,297599,3,356496,214773,6.295697976,3,4
Coho,2007,Skeena,226502,3,261921,161908,6.86878503,3,4
Coho,2008,Skeena,196659,3,507526,168227,5.663032033,3,4
Coho,2009,Skeena,480368,3,297599,99911,5.206310806,3,4
Coho,2010,Skeena,344485,3,226502,129337,4.724268708,3,4
Coho,2011,Skeena,150366,3,196659,57399,5.572014289,3,4
Coho,2012,Skeena,217459,3,480368,100858,5.235384795,3,4
Coho,2013,Skeena,414451,3,344485,117670,5.577702162,3,4
Coho,2014,Skeena,425764,3,150366,120518,4.800310422,3,4
Coho,2015,Skeena,158828,3,217459,118318,5.560729398,3,4
Coho,2016,Skeena,344065,3,414451,127820,6.690331317,3,4
Coho,2017,Skeena,288808,3,425764,165677,6.790738342,3,4
Coho,2018,Skeena,NA,3,158828,155670,7.296033557,3,4
